,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
157,Tue Jan 03 08:58:04 +0000 2017,4,0,Pacific Time (US & Canada),-0.128,0.112,0.745,0.143,1,0,0,0,0,0,0
158,Tue Jan 03 08:58:01 +0000 2017,3,0,,-0.128,0.112,0.745,0.143,1,0,0,0,0,0,0
159,Tue Jan 03 08:57:40 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0
160,Tue Jan 03 08:57:05 +0000 2017,1,0,,0.8745,0.333,0.667,0.0,0,0,1,0,0,0,0
161,Tue Jan 03 08:57:01 +0000 2017,3,0,Amsterdam,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
162,Tue Jan 03 08:56:33 +0000 2017,0,0,Central Time (US & Canada),-0.0258,0.225,0.58,0.195,0,0,0,0,0,0,0
163,Tue Jan 03 08:56:24 +0000 2017,0,0,Rome,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
164,Tue Jan 03 08:56:18 +0000 2017,0,0,Wellington,0.5319,0.153,0.847,0.0,0,0,0,1,0,0,0
165,Tue Jan 03 08:56:17 +0000 2017,0,0,,0.4019,0.351,0.649,0.0,0,0,0,0,0,0,0
166,Tue Jan 03 08:55:49 +0000 2017,0,0,London,-0.1779,0.0,0.928,0.072,0,0,0,0,0,0,0
167,Tue Jan 03 08:55:11 +0000 2017,0,0,Eastern Time (US & Canada),0.6155,0.229,0.692,0.079,0,0,0,0,0,0,0
168,Tue Jan 03 08:55:05 +0000 2017,0,2,Amsterdam,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
169,Tue Jan 03 08:54:50 +0000 2017,1,1,Beijing,0.0772,0.231,0.557,0.212,0,0,0,0,0,0,0
170,Tue Jan 03 08:54:44 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
171,Tue Jan 03 08:54:24 +0000 2017,1,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
172,Tue Jan 03 08:53:57 +0000 2017,0,0,Hawaii,0.8294,0.36,0.518,0.121,0,0,1,0,0,0,0
173,Tue Jan 03 08:53:29 +0000 2017,0,0,Central Time (US & Canada),-0.4724,0.0,0.854,0.146,0,0,0,0,0,0,0
174,Tue Jan 03 08:52:59 +0000 2017,2,1,Pacific Time (US & Canada),-0.8519,0.0,0.659,0.341,0,1,0,0,0,0,0
175,Tue Jan 03 08:52:36 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
176,Tue Jan 03 08:52:23 +0000 2017,0,0,Helsinki,-0.4753,0.0,0.781,0.219,0,0,0,1,0,0,0
177,Tue Jan 03 08:52:05 +0000 2017,0,0,Pacific Time (US & Canada),-0.2584,0.0,0.915,0.085,0,0,0,0,0,0,0
178,Tue Jan 03 08:51:56 +0000 2017,0,0,Pacific Time (US & Canada),0.886,0.342,0.658,0.0,0,0,0,0,1,0,0
179,Tue Jan 03 08:51:30 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,1,0,0,0,0,0
180,Tue Jan 03 08:51:01 +0000 2017,0,0,London,0.4574,0.115,0.885,0.0,1,0,0,0,0,0,0
181,Tue Jan 03 08:50:57 +0000 2017,2,0,Pacific Time (US & Canada),-0.4404,0.0,0.868,0.132,0,0,0,0,0,0,0
182,Tue Jan 03 08:50:57 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
183,Tue Jan 03 08:50:36 +0000 2017,1,1,Casablanca,0.3612,0.263,0.737,0.0,0,0,0,0,1,0,0
184,Tue Jan 03 08:50:31 +0000 2017,0,0,,0.5423,0.304,0.696,0.0,0,0,0,0,0,0,0
185,Tue Jan 03 08:50:31 +0000 2017,0,0,Mountain Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
186,Tue Jan 03 08:50:14 +0000 2017,0,0,London,0.5423,0.175,0.748,0.077,1,0,1,0,0,0,0
187,Tue Jan 03 08:50:04 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
188,Tue Jan 03 08:50:04 +0000 2017,0,0,Sydney,0.296,0.099,0.901,0.0,0,0,0,0,0,0,0
189,Tue Jan 03 08:49:43 +0000 2017,1,1,,0.9136,0.358,0.642,0.0,0,0,0,0,0,0,0
190,Tue Jan 03 08:49:43 +0000 2017,0,0,London,0.3612,0.278,0.485,0.237,0,0,0,0,0,0,0
191,Tue Jan 03 08:49:27 +0000 2017,0,0,Pacific Time (US & Canada),0.5984,0.327,0.673,0.0,0,0,1,0,0,0,0
192,Tue Jan 03 08:49:27 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
193,Tue Jan 03 08:49:22 +0000 2017,0,0,,0.7717,0.401,0.599,0.0,0,0,0,0,0,0,0
194,Tue Jan 03 08:49:04 +0000 2017,0,0,Pacific Time (US & Canada),-0.2942,0.0,0.909,0.091,0,0,0,0,0,0,0
195,Tue Jan 03 08:48:55 +0000 2017,0,0,Amsterdam,0.3384,0.179,0.821,0.0,0,0,0,0,0,0,0
196,Tue Jan 03 08:48:26 +0000 2017,1,0,Central Time (US & Canada),-0.25,0.0,0.923,0.077,0,0,1,0,0,0,0
197,Tue Jan 03 08:48:22 +0000 2017,0,0,Africa/Johannesburg,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
198,Tue Jan 03 08:48:20 +0000 2017,1,0,,-0.7559,0.0,0.401,0.599,0,0,0,0,0,0,0
199,Tue Jan 03 08:48:17 +0000 2017,1,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
200,Tue Jan 03 08:48:08 +0000 2017,0,0,Ljubljana,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
201,Tue Jan 03 08:47:58 +0000 2017,0,0,,0.2411,0.094,0.906,0.0,0,0,0,0,0,0,0
202,Tue Jan 03 08:47:39 +0000 2017,1,0,Eastern Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,1,0,0,0
203,Tue Jan 03 08:47:37 +0000 2017,0,0,Pacific Time (US & Canada),0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
204,Tue Jan 03 08:47:28 +0000 2017,1,0,Greenland,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
205,Tue Jan 03 08:47:27 +0000 2017,0,0,Pacific Time (US & Canada),0.6932,0.321,0.679,0.0,0,0,1,0,0,0,0
206,Tue Jan 03 08:47:16 +0000 2017,0,0,Pacific Time (US & Canada),0.6932,0.321,0.679,0.0,0,0,1,0,0,0,0
207,Tue Jan 03 08:47:10 +0000 2017,1,0,Mountain Time (US & Canada),0.7506,0.291,0.709,0.0,0,0,0,0,0,0,0
208,Tue Jan 03 08:46:35 +0000 2017,0,0,London,-0.5851,0.106,0.619,0.274,0,1,0,0,0,0,0
